method,stress_name,stress_value,num_queries,num_errors,accuracy,collapse_rate,forgetting_rate,stale_dominance_rate,residual_rate,forgetting_share_of_errors,stale_dominance_share_of_errors,residual_share_of_errors,mean_confidence
tfidf_only,overall,-1.0,540,199,0.6314814814814815,0.3685185185185185,0.19814814814814816,0.08148148148148149,0.08888888888888889,0.5376884422110553,0.22110552763819097,0.24120603015075376,0.7819432873187245
tfidf_only,s0,0.0,90,27,0.7,0.3,0.2,0.07777777777777778,0.022222222222222223,0.6666666666666666,0.25925925925925924,0.07407407407407407,0.9115179734812522
tfidf_only,s1,0.2,90,27,0.7,0.3,0.15555555555555556,0.044444444444444446,0.1,0.5185185185185185,0.14814814814814814,0.3333333333333333,0.875151558265143
tfidf_only,s2,0.4,90,30,0.6666666666666666,0.3333333333333333,0.2111111111111111,0.07777777777777778,0.044444444444444446,0.6333333333333333,0.23333333333333334,0.13333333333333333,0.8167498161561255
tfidf_only,s3,0.6,90,32,0.6444444444444445,0.35555555555555557,0.13333333333333333,0.08888888888888889,0.13333333333333333,0.375,0.25,0.375,0.7501004127979451
tfidf_only,s4,0.8,90,39,0.5666666666666667,0.43333333333333335,0.2222222222222222,0.1,0.1111111111111111,0.5128205128205128,0.23076923076923078,0.2564102564102564,0.6810148077378998
tfidf_only,s5,1.0,90,44,0.5111111111111111,0.4888888888888889,0.26666666666666666,0.1,0.12222222222222222,0.5454545454545454,0.20454545454545456,0.25,0.6571251554739822
tfidf_plus_recency,overall,-1.0,540,194,0.6407407407407407,0.3592592592592593,0.2,0.027777777777777776,0.13148148148148148,0.5567010309278351,0.07731958762886598,0.36597938144329895,0.6284303263569483
tfidf_plus_recency,s0,0.0,90,21,0.7666666666666667,0.23333333333333334,0.2,0.011111111111111112,0.022222222222222223,0.8571428571428571,0.047619047619047616,0.09523809523809523,0.8076163924448984
tfidf_plus_recency,s1,0.2,90,27,0.7,0.3,0.14444444444444443,0.011111111111111112,0.14444444444444443,0.48148148148148145,0.037037037037037035,0.48148148148148145,0.713691880021371
tfidf_plus_recency,s2,0.4,90,24,0.7333333333333333,0.26666666666666666,0.2111111111111111,0.011111111111111112,0.044444444444444446,0.7916666666666666,0.041666666666666664,0.16666666666666666,0.6368382966289949
tfidf_plus_recency,s3,0.6,90,28,0.6888888888888889,0.3111111111111111,0.13333333333333333,0.03333333333333333,0.14444444444444443,0.42857142857142855,0.10714285714285714,0.4642857142857143,0.5933897753665377
tfidf_plus_recency,s4,0.8,90,44,0.5111111111111111,0.4888888888888889,0.24444444444444444,0.05555555555555555,0.18888888888888888,0.5,0.11363636363636363,0.38636363636363635,0.49004860624797997
tfidf_plus_recency,s5,1.0,90,50,0.4444444444444444,0.5555555555555556,0.26666666666666666,0.044444444444444446,0.24444444444444444,0.48,0.08,0.44,0.528997007431908
